periodo,inadimplencia_pf,comprometimento_total,comprometimento_sem_imob,comprometimento_total_lag_-4,comprometimento_sem_imob_lag_-4,diff_inadimplencia_pf,diff_comprometimento_total
2011-03-01,4.6,23.9,23.0,23.2,22.1,,
2011-04-01,4.7,23.8,22.8,23.4,22.2,0.10000000000000053,-0.09999999999999787
2011-05-01,4.8,23.5,22.4,23.9,22.7,0.09999999999999964,-0.3000000000000007
2011-06-01,4.8,23.3,22.2,24.4,23.1,0.0,-0.1999999999999993
2011-07-01,4.9,23.2,22.1,24.3,23.0,0.10000000000000053,-0.10000000000000142
2011-08-01,5.0,23.4,22.2,24.3,22.9,0.09999999999999964,0.1999999999999993
2011-09-01,5.0,23.9,22.7,24.2,22.9,0.0,0.5
2011-10-01,5.2,24.4,23.1,24.2,22.9,0.20000000000000018,0.5
2011-11-01,5.2,24.3,23.0,24.3,22.9,0.0,-0.09999999999999787
2011-12-01,5.2,24.3,22.9,24.2,22.8,0.0,0.0
2012-01-01,5.4,24.2,22.9,24.2,22.9,0.20000000000000018,-0.10000000000000142
2012-02-01,5.4,24.2,22.9,24.0,22.7,0.0,0.0
2012-03-01,5.4,24.3,22.9,23.8,22.5,0.0,0.10000000000000142
2012-04-01,5.4,24.2,22.8,23.4,22.1,0.0,-0.10000000000000142
2012-05-01,5.5,24.2,22.9,23.3,21.9,0.09999999999999964,0.0
2012-06-01,5.4,24.0,22.7,23.2,21.8,-0.09999999999999964,-0.1999999999999993
2012-07-01,5.4,23.8,22.5,23.2,21.7,0.0,-0.1999999999999993
2012-08-01,5.4,23.4,22.1,23.1,21.7,0.0,-0.40000000000000213
2012-09-01,5.4,23.3,21.9,23.1,21.7,0.0,-0.09999999999999787
2012-10-01,5.3,23.2,21.8,23.1,21.6,-0.10000000000000053,-0.10000000000000142
2012-11-01,5.2,23.2,21.7,22.9,21.4,-0.09999999999999964,0.0
2012-12-01,5.1,23.1,21.7,22.8,21.3,-0.10000000000000053,-0.09999999999999787
2013-01-01,5.0,23.1,21.7,22.3,20.9,-0.09999999999999964,0.0
2013-02-01,5.0,23.1,21.6,22.2,20.8,0.0,0.0
2013-03-01,4.9,22.9,21.4,22.2,20.7,-0.09999999999999964,-0.20000000000000284
2013-04-01,4.9,22.8,21.3,22.2,20.8,0.0,-0.09999999999999787
2013-05-01,4.9,22.3,20.9,22.3,20.8,0.0,-0.5
2013-06-01,4.6,22.2,20.8,22.3,20.8,-0.3000000000000007,-0.10000000000000142
2013-07-01,4.6,22.2,20.7,22.4,20.9,0.0,0.0
2013-08-01,4.5,22.2,20.8,22.7,21.0,-0.09999999999999964,0.0
2013-09-01,4.4,22.3,20.8,22.6,21.0,-0.09999999999999964,0.10000000000000142
2013-10-01,4.3,22.3,20.8,22.6,20.9,-0.10000000000000053,0.0
2013-11-01,4.2,22.4,20.9,22.5,20.8,-0.09999999999999964,0.09999999999999787
2013-12-01,4.1,22.7,21.0,22.6,20.9,-0.10000000000000053,0.3000000000000007
2014-01-01,4.0,22.6,21.0,22.7,21.0,-0.09999999999999964,-0.09999999999999787
2014-02-01,4.0,22.6,20.9,22.8,21.1,0.0,0.0
2014-03-01,4.1,22.5,20.8,22.8,21.1,0.09999999999999964,-0.10000000000000142
2014-04-01,4.1,22.6,20.9,22.7,21.0,0.0,0.10000000000000142
2014-05-01,4.2,22.7,21.0,22.7,20.9,0.10000000000000053,0.09999999999999787
2014-06-01,4.0,22.8,21.1,22.7,20.9,-0.20000000000000018,0.10000000000000142
2014-07-01,4.1,22.8,21.1,23.1,21.3,0.09999999999999964,0.0
2014-08-01,4.1,22.7,21.0,23.5,21.6,0.0,-0.10000000000000142
2014-09-01,4.0,22.7,20.9,23.9,22.0,-0.09999999999999964,0.0
2014-10-01,4.0,22.7,20.9,24.1,22.1,0.0,0.0
2014-11-01,3.9,23.1,21.3,24.0,22.0,-0.10000000000000009,0.40000000000000213
