ano,inadimplencia_pf_media,inadimplencia_pf_max,inadimplencia_pf_min,comprometimento_total_medio,comprometimento_sem_imob_medio
2011,4.94,5.2,4.6,23.8,22.64
2012,5.36,5.5,5.1,23.76,22.4
2013,4.62,5.0,4.1,22.54,21.06
2014,4.02,4.2,3.7,22.78,21.04
2015,3.88,4.3,3.7,24.08,22.03
2016,4.22,4.4,4.0,23.67,21.58
2017,3.97,4.2,3.6,22.57,20.47
2018,3.56,3.8,3.3,22.27,20.19
2019,3.48,3.6,3.3,23.64,21.58
2020,3.51,4.1,2.9,21.48,19.58
2021,2.97,3.0,2.9,23.53,21.47
2022,3.65,3.9,3.3,26.39,24.39
2023,4.09,4.3,3.7,27.23,25.15
2024,3.75,3.8,3.6,26.28,24.18
2025,4.55,5.1,3.9,27.38,25.18
2026,5.5,5.6,5.4,28.32,26.02
