periodo,comprometimento_total,comprometimento_sem_imob
2011-03-01,23.9,23.0
2011-04-01,23.8,22.8
2011-05-01,23.5,22.4
2011-06-01,23.3,22.2
2011-07-01,23.2,22.1
2011-08-01,23.4,22.2
2011-09-01,23.9,22.7
2011-10-01,24.4,23.1
2011-11-01,24.3,23.0
2011-12-01,24.3,22.9
2012-01-01,24.2,22.9
2012-02-01,24.2,22.9
2012-03-01,24.3,22.9
2012-04-01,24.2,22.8
2012-05-01,24.2,22.9
2012-06-01,24.0,22.7
2012-07-01,23.8,22.5
2012-08-01,23.4,22.1
2012-09-01,23.3,21.9
2012-10-01,23.2,21.8
2012-11-01,23.2,21.7
2012-12-01,23.1,21.7
2013-01-01,23.1,21.7
2013-02-01,23.1,21.6
2013-03-01,22.9,21.4
2013-04-01,22.8,21.3
2013-05-01,22.3,20.9
2013-06-01,22.2,20.8
2013-07-01,22.2,20.7
2013-08-01,22.2,20.8
2013-09-01,22.3,20.8
2013-10-01,22.3,20.8
2013-11-01,22.4,20.9
2013-12-01,22.7,21.0
2014-01-01,22.6,21.0
2014-02-01,22.6,20.9
2014-03-01,22.5,20.8
2014-04-01,22.6,20.9
2014-05-01,22.7,21.0
2014-06-01,22.8,21.1
2014-07-01,22.8,21.1
2014-08-01,22.7,21.0
2014-09-01,22.7,20.9
2014-10-01,22.7,20.9
2014-11-01,23.1,21.3
2014-12-01,23.5,21.6
2015-01-01,23.9,22.0
2015-02-01,24.1,22.1
2015-03-01,24.0,22.0
2015-04-01,24.2,22.1
2015-05-01,24.2,22.1
2015-06-01,24.3,22.2
2015-07-01,24.3,22.3
2015-08-01,24.4,22.3
2015-09-01,24.6,22.5
2015-10-01,24.2,22.1
2015-11-01,23.7,21.7
2015-12-01,23.0,21.0
2016-01-01,23.3,21.2
2016-02-01,23.4,21.3
2016-03-01,23.7,21.6
2016-04-01,23.7,21.6
2016-05-01,24.0,21.9
2016-06-01,24.0,21.9
2016-07-01,23.8,21.8
2016-08-01,23.8,21.7
2016-09-01,23.8,21.7
2016-10-01,23.7,21.6
2016-11-01,23.6,21.5
2016-12-01,23.2,21.1
2017-01-01,23.2,21.1
2017-02-01,23.0,20.8
2017-03-01,22.9,20.8
2017-04-01,22.5,20.5
2017-05-01,22.2,20.1
2017-06-01,22.2,20.1
2017-07-01,22.3,20.4
2017-08-01,22.7,20.7
2017-09-01,22.8,20.6
2017-10-01,22.6,20.4
2017-11-01,22.3,20.2
2017-12-01,22.1,20.0
2018-01-01,21.9,19.9
2018-02-01,21.9,19.8
2018-03-01,22.0,19.9
2018-04-01,22.2,20.1
2018-05-01,22.5,20.4
2018-06-01,22.9,20.7
2018-07-01,22.4,20.5
2018-08-01,22.1,20.2
2018-09-01,22.2,20.0
2018-10-01,22.2,20.1
2018-11-01,22.3,20.2
2018-12-01,22.6,20.5
2019-01-01,22.8,20.7
2019-02-01,23.0,20.8
2019-03-01,23.0,20.9
2019-04-01,23.5,21.3
2019-05-01,23.9,21.7
2019-06-01,25.1,23.0
2019-07-01,24.7,22.8
2019-08-01,24.7,22.8
2019-09-01,23.9,21.8
2019-10-01,23.5,21.5
2019-11-01,23.0,21.0
2019-12-01,22.6,20.7
2020-01-01,22.6,20.6
2020-02-01,22.6,20.8
2020-03-01,23.7,21.7
2020-04-01,23.2,21.2
2020-05-01,21.8,19.9
2020-06-01,20.5,18.7
2020-07-01,19.9,18.2
2020-08-01,19.8,18.1
2020-09-01,20.0,18.1
2020-10-01,20.5,18.5
2020-11-01,21.3,19.2
2020-12-01,21.8,19.9
2021-01-01,22.2,20.1
2021-02-01,22.0,20.0
2021-03-01,22.3,20.3
2021-04-01,22.4,20.3
2021-05-01,22.8,20.7
2021-06-01,23.0,21.0
2021-07-01,23.3,21.3
2021-08-01,23.6,21.7
2021-09-01,24.5,22.4
2021-10-01,25.2,23.0
2021-11-01,25.5,23.3
2021-12-01,25.6,23.5
2022-01-01,26.0,23.9
2022-02-01,25.6,23.6
2022-03-01,25.4,23.4
2022-04-01,25.6,23.5
2022-05-01,25.4,23.5
2022-06-01,26.0,24.1
2022-07-01,26.5,24.6
2022-08-01,26.9,25.0
2022-09-01,27.2,25.1
2022-10-01,27.2,25.2
2022-11-01,27.3,25.3
2022-12-01,27.6,25.5
2023-01-01,27.7,25.6
2023-02-01,27.7,25.6
2023-03-01,27.7,25.6
2023-04-01,27.8,25.7
2023-05-01,28.0,25.9
2023-06-01,27.8,25.7
2023-07-01,27.3,25.3
2023-08-01,26.9,24.9
2023-09-01,26.8,24.7
2023-10-01,26.8,24.7
2023-11-01,26.5,24.4
2023-12-01,25.8,23.7
2024-01-01,25.7,23.6
2024-02-01,25.8,23.8
2024-03-01,26.1,24.0
2024-04-01,26.1,24.0
2024-05-01,26.0,23.9
2024-06-01,26.4,24.3
2024-07-01,26.5,24.5
2024-08-01,26.7,24.6
2024-09-01,26.5,24.4
2024-10-01,26.4,24.3
2024-11-01,26.4,24.3
2024-12-01,26.8,24.5
2025-01-01,26.7,24.5
2025-02-01,26.8,24.6
2025-03-01,27.0,24.8
2025-04-01,27.1,24.9
2025-05-01,27.2,25.0
2025-06-01,27.2,25.1
2025-07-01,27.3,25.2
2025-08-01,27.6,25.4
2025-09-01,27.8,25.6
2025-10-01,27.9,25.7
2025-11-01,27.9,25.7
2025-12-01,28.1,25.7
2026-01-01,28.2,25.9
2026-02-01,28.3,26.0
2026-03-01,28.2,25.9
2026-04-01,28.4,26.1
2026-05-01,28.5,26.2
